Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Starting location,Monument,Plaza de Callao,Miguel Moya,"Calle Miguel Moya nº 1,",19,8,57.52
Fuente de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",9,14,78.58
Neptuno,Monument,Pza Cánovas del Castillo ,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",3,20,183.87
Maestro Alonso,Monument,C Hermanos Álvarez Quintero 30,Alonso Martínez,"Plaza de Alonso Martínez nº 5,",11,13,131.4
El Vecino Curioso,Monument,C Almudena ,Segovia 26,"Calle Segovia nº 26,",9,18,149.66
Finish location,Monument,Plaza de España,Plaza de España A,"Calle Princesa nº 5,",13,5,81.61
