Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Fuente de la Pirámide en los jardines de El Pardo,Monument, ,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",22,5,5011.29
Fuente de la Piña en la Casa de Campo,Monument,Pº Torrecilla ,Paseo de la Florida,"Paseo de la Florida nº 8,",25,2,430.94
Fuente de la Piña en Villaverde,Monument,CALLE ALCARRIA ,"Calle Cifuentes, 5","Calle Cifuentes, 5,",11,12,187.39
Fuente de la plaza de Mercurio,Monument,Pza Mercurio ,"Plaza Mayor de Barajas, 24","Plaza Mayor de Barajas, 24,",12,12,142.63
Fuente de la Puerta de la Independencia,Monument,Pº México ,Plaza de la Independencia,"Plaza de la Independencia nº 6,",20,3,63.36
Fuente de la Rosaleda,Monument, ,"Calle de la Duquesa de Parcent, 14","Calle de la Duquesa de Parcent, 14,",12,11,523.67
Fuente de la Salud de la Casa de Campo,Monument,PASEO PIÑONERO 4,"Calle Santa Pola, 22","318 - Calle Santa Pola, 22,",8,15,198.33
Fuente de la Salud del parque del Oeste,Monument,PARQUE OESTE ,Moncloa,"Paseo de Moret nº 2,",3,20,338.93
Fuente de la Salud del Retiro,Monument, ,Velázquez,"Calle Alcalá nº 95,",10,13,84.37
Fuente de la Sardana,Monument,GLORIETA SARDANA ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",5,18,295.83
Fuente de la Unión y el Fénix,Monument,Pº Castellana 33,Castellana 33,"Castellana 33,",2,21,43.85
Fuente de la Vaguada,Monument,CALLE GINZO DE LIMIA 2,Ginzo de Limia  36,"Ginzo de Limia, 36,",10,14,212.66
Fuente de las Conchas,Monument, campo ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",4,23,
Fuente de las Covas,Monument,Pº Azul ,Puerta del Ángel,"Plaza Puerta del Ángel nº 4,",27,0,470.12
Fuente de las Cuatro náyades o de las Sirenas,Monument, ,Velázquez,"Calle Alcalá nº 95,",10,13,199.49
Fuente de las Moreras,Monument,Gta Puerta Moreras ,"Avenida de Valladolid, 47G","Avenida de Valladolid, 47G, 47,",20,7,588.12
Fuente de las Naciones,Monument,C Guzmán el Bueno 133,San Francisco de Sales,"Calle General Ampudia nº 2,",2,22,230.9
Fuente de las Ranas,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",8,19,286.46
Fuente de las Siete Hermanas,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",2,21,1900.56
Fuente de los Barcos,Monument,PARQUE SAN ISIDRO ,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",1,22,582.49
Fuente de los caballitos de Hortaleza,Monument,C Mar Amarillo ,"Avenida Barranquilla, 17","Avenida Barranquilla, 17,",6,18,117.87
Fuente de los Caballos,Monument,C Arnedo 22,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",16,6,285.14
Fuente de los Caños,Monument,GLORIETA CAÑOS ," Paseo de la Venta, 1","Paseo de la Venta, 1,",4,22,893.34
Fuente de los Caños del Peral,Monument,Pza Isabel II ,Palacio de Oriente,"Calle Carlos III nº 1,",4,12,114.27
Fuente de los Cuarteles de Daoiz y Velarde,Monument,Avda Ciudad de Barcelona 160,Pedro Bosch,"Calle Cerro de la Plata nº 2,",9,14,290.05
Fuente de los cuatro delfines del jardín de la Quinta del duque del Arco,Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",9,14,5347.7
Fuente de los Cupidos,Monument,Avda Reina Victoria 70,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",6,16,65.87
Fuente de los Cármenes,Monument,Gta Cármenes ,"Calle de la Duquesa de Parcent, 14","Calle de la Duquesa de Parcent, 14,",12,11,110.63
Fuente de los Delfines,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",8,19,278.37
Fuente de los Delfines,Monument,PLAZA REPUBLICA ARGENTINA 1,Plaza de la República Argentina,"Plaza de la República Argentina nº 6,",1,23,136.55
Fuente de los Delfines del Parterre,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",4,23,107.72
Fuente de los jardines Enrique Herreros,Monument,CALLE CEA BERMUDEZ 2,Canal,"Calle José Abascal frente al nº 2,",1,22,160.38
Fuente de los Leones,Monument,Avda Manoteras 1,Calle Oña s/n,"Calle Oña s/n,",2,20,443.27
Fuente de los Libros,Monument,Pza Dalí ,Plaza de Felipe II,"Plaza de Felipe II,",2,21,89.25
Fuente de los Neveros,Monument,Gta Patines ,"Paseo de Puerta del Angel, 10 (M. Lago)","Paseo de Puerta del Angel, 10 ( metro Lago),",12,7,89.76
Fuente de los Patos,Monument,Pº Prado ,Cibeles,"Plaza Cibeles,",4,20,58.34
Fuente de los Peces,Monument,PASEO LA HABANA 1,Castellana frente a Hermanos Pinzón,"Paseo de la Castellana nº 122,",4,19,127.58
Fuente de los Tritones,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",4,23,
Fuente de Mariano de Cavia,Monument,Pza Mariano de Cavia ,Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",11,15,95.71
Fuente de Mercamadrid,Monument,Me Mercado Mercamadrid ,"Auñón, 16","Calle de Auñón, 16,",23,0,1717.66
Fuente de mármol del jardín de las Tres Culturas,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",8,15,873.65
Fuente de Orfeo,Monument,Pza Provincia ,Plaza de la Provincia,"Plaza de la Provincia nº 1,",5,13,16.69
Fuente de San Antón,Monument,C Hortaleza ,Colegio Arquitectos,"Calle Hortaleza nº 63,",4,15,38.24
Fuente de San Isidro,Monument,Pº Quince de Mayo 62,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",1,22,627.04
Fuente de Santa Isabel,Monument,C Santa Isabel 48,Santa Isabel,"Calle Santa Isabel 32,",5,22,246.79
