Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
A las víctimas del Holocausto,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",8,15,873.65
A los Abuelos,Monument,C Alicún ,"Calle de Bacares, 20","Calle de Bacares, 20,",1,23,349.7
A Neruda-El Ser alado,Monument,Gta José Luis Ozores 116,"433 -Calle de Villalobos, 28","Calle de Villalobos, 28,",13,11,142.94
Abogados Laboristas,Monument,C Atocha 55,Antón Martín,"Calle Atocha nº 54,",4,14,109.52
Abstracta I,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",3,21,376.75
Abstracta II,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",3,21,352.56
Abundancia,Monument,CALLE GUZMAN EL BUENO 137,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",6,16,260.81
Academia de Farmacia,Monument,C Farmacia 9,Colegio Arquitectos,"Calle Hortaleza nº 63,",4,15,109.53
Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monument,CAMINO HUMERA ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",11,16,1786.71
Ad Iesum per Mariam,Monument,AVENIDA MACHUPICHU 1,"Avenida de Machupichu, 23","Avenida de Machupichu, 23,",15,12,381.24
Adelardo Ortiz de Pinedo,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",3,21,336.72
Adhesión de España a la Comunidad Europea,Monument,PLAZA PROVINCIA 1,Plaza de la Provincia,"Plaza de la Provincia nº 1,",5,13,38.61
"Agricultor, agricultura y progreso",Monument,PASEO CASTELLANA 101,General Perón con Poeta Joan Maragall,"Avenida del General Perón frente al nº 36,",2,21,246.8
"Agricultor, agricultura y progreso",Monument,Avda Complutense ,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",4,15,237.17
"Agricultor, agricultura y progreso",Monument,C Principal de Provincias ,"Calle Francisco de Tejada, 1","Calle Francisco de Tejada, 1,",16,8,352.14
Agustín Argüelles,Monument,Pza Marqués de Cerralbo ,Ferraz,"Calle Evaristo San Miguel nº 2,",2,21,34.38
Agustín de Foxá,Monument,C Ibiza 1,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",5,18,52.62
Agustín Lara,Monument,C Sombrerete 15,Plaza de Nelson Mandela,"Calle Mesón de Paredes nº 35,",10,8,195.2
Agustín Rodríguez Sahagún,Monument,PARQUE AGUSTIN RODRIGUEZ SAHAGUN ,"Calle Valle de Mena, 5","Calle Valle de Mena, 5,",7,15,316.75
AICO,Monument,Pza Colón ,Plaza de Colón,"Calle Goya nº 1,",5,18,115.64
Al Bombero,Monument,Avda Poblados ,Avda del Padre Piquer,"Avda del Padre Piquer s/n,",2,22,328.85
Al Libro,Monument,Pº Recoletos ,Biblioteca Nacional,"Paseo de Recoletos nº 20,",4,18,32.58
Al Maestro,Monument, ,Paseo de Moret,"Paseo de Moret nº 11,",3,20,236.02
Al Niño,Monument,AVENIDA ALBERTO ALCOCER 1,Castellana 164,"Paseo de la Castellana nº 164,Comunidad de Madrid España",5,18,61.76
Al otro lado del muro,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",1,22,62.94
Al Pueblo del Dos de Mayo de 1808,Monument,Pza España ,Plaza de España A,"Calle Princesa nº 5,",4,13,166.92
Al Siglo XXI,Monument,AVENIDA CANILLEJAS A VICALVARO 159,Paseo Ginebra,"calle Paseo Ginebra,",21,3,580.9
Al Viejo Profesor,Monument,Avda Eduardo Barreiros 17,"Avenida de la Perla, 35","Avenida de la Perla, 35,",12,11,123.29
Albercas-acequias del Jardín Islámico,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",8,15,873.65
Alberto Aguilera,Monument,CALLE MAGDALENA 6,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",13,4,230.38
Alejandro Busuioceanu,Monument,C General Pardiñas 32,Hermosilla,"Calle Hermosilla nº 70,",9,14,56.25
Alejandro Muñoz Revenga,Monument,CALLE MELENDEZ VALDES 1,Fernando el Católico,"Calle Fernando el Católico nº 19,",2,25,135.73
Alexandr Pushkin,Monument,PARQUE QUINTA FUENTE DEL BERRO ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",3,21,66.96
Alfonso R. Castelao,Monument, ,Avenida Brasilia,"Avenida de Brasilia frente al nº 9,",8,15,130.82
Alfonso VI,Monument, ,San Quintín,"Calle Pavía nº 6,",12,15,213.22
Alfonso VIII,Monument, ,San Quintín,"Calle Pavía nº 6,",12,15,216.77
Alfonso X El Sabio,Monument,JARDINES SABATINI ,Plaza de España A,"Calle Princesa nº 5,",4,13,237.64
Alfonso X El Sabio,Monument,PASEO RECOLETOS 20,Biblioteca Nacional,"Paseo de Recoletos nº 20,",4,18,24.52
Alfonso XII,Monument,PASEO CHILE ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",5,18,326.82
Alfonso XIII,Monument,Avda Complutense ,Facultad Biología,"Calle José Antonio Novais frente al nº 12,",12,11,79.59
Alférez Provisional,Monument,CALLE FELIPE IV 1,"Calle Felipe IV, 3","Calle Felipe IV, 3,",6,17,48.6
Almirante Miguel Grau,Monument, ,"Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",8,19,225.76
Almudena,Monument,C Castelló 77,Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",2,21,92.42
Alonso I,Monument,PLAZA ORIENTE 1,Palacio de Oriente,"Calle Carlos III nº 1,",4,12,84.12
Alonso I El Batallador,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",12,12,306.38
Alonso II,Monument,Pza Oriente ,Plaza Ramales,"Plaza de Ramales,",11,11,103.43
Alonso III,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",12,15,59.64
Alonso V,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",12,15,88.46
Altar Parque de Roma,Monument,C Juan Esplandiú ,Parque Roma,"Calle Alcalde Sáinz de Baranda frente al nº 107,",6,17,415.23
Amado Nervo,Monument,C Bailén 15,San Quintín,"Calle Pavía nº 6,",12,15,128.6
Amigos,Monument,Pza Alfredo Mahou de la Fuente ,Velázquez-Diego de León,"Calle Velázquez nº 91,",2,21,195.87
Amós Acero,Monument, ,"Calle de Carlos Martin Alvarez, 38","Calle de Carlos Martin Alvarez, 38,",13,10,220.66
América,Monument,CALLE GUZMAN EL BUENO 133,San Francisco de Sales,"Calle General Ampudia nº 2,",2,22,204.74
Ana Tutor,Monument,Avda Ventisquero de la Condesa ,"Ubeda,  27","Calle de Úbeda,  27,",5,19,317.15
Ancla,Monument,C Arturo Soria 271,Calle Serrano Galvache,"Calle Serrano Galvache,",2,21,246.03
Anclas,Monument,C Manuel Alonso ,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",22,5,5148.75
Andrés Bello,Monument,PARQUE DEHESA DE LA VILLA ,"Calle Santo Ángel de la Guarda , 6","Calle Santo Ángel de la Guarda , 6,",4,19,305.39
Andrés Eloy Blanco,Monument,Pº Venezuela ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",17,10,407.89
Andrés Segovia,Monument,PLAZA ANDRES SEGOVIA 1,María Francisca 1,"Calle María Francisca nº 3,",3,16,114.35
Andrómaca,Monument,PASEO RECOLETOS 1,Cibeles,"Plaza Cibeles,",4,20,164.14
Anfiteatro del parque Cuña Verde de Vicálvaro,Monument,CALLE CASALARREINA 3,Calle Casalarreina 18,"Calle Casalarreina,",8,15,142.53
Anfiteatro del parque del Manzanares,Monument,Cmno Perales s/n,"Avenida Cordoba, 21","Avenida Cordoba, 21,",19,2,720.92
Antigua Fuente de las Delicias,Monument, ,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",1,22,184.75
Antigua Iglesia y Hospital del Buen Suceso,Monument, ,Carretas,"Calle Carretas nº 8,",6,17,70.56
Antigua pastelería del Pozo,Monument,C Pozo 8,Carretas,"Calle Carretas nº 8,",6,17,183.57
"Antonia Mercé, la Argentina",Monument,C Ave María 8,Antón Martín,"Calle Atocha nº 54,",4,14,121.61
Antonio Bienvenida,Monument,C Alcalá 231,Alcalá-Ventas,"Calle Alejandro González nº 1,",8,15,207.35
Antonio Bienvenida,Monument,C Alcalá 231,Alcalá-Ventas,"Calle Alejandro González nº 1,",8,15,173.05
Antonio Cánovas del Castillo,Monument,Pza Marina Española ,San Quintín,"Calle Pavía nº 6,",12,15,191.38
Antonio de Andrés Martínez,Monument,PLAZA DON ANTONIO DE ANDRES 1,"Avenida Real, 3","470 - Avenida Real, 3,",3,15,43.5
Antonio Lleó de la Viña,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",2,21,1900.56
Antonio Machado,Monument,C Antonio Machado 55,"Calle Antonio Machado, 30","Calle Antonio Machado, 30,",7,4,55.81
Antonio Machado,Monument,CALLE SAN ROMAN DEL VALLE 8,Hermanos Garcia Noblejas 133,"Hermanos Garcia Noblejas, 133,",17,6,246.83
Antonio Machado,Monument,CALLE GENERAL ARRANDO 4,Manuel Silvela,"Calle Manuel Silvela nº 20,",2,25,228.96
Antonio Maura,Monument,C Antonio Maura 18,Antonio Maura,"Calle Antonio Maura nº 15,",12,12,45.01
Antonio Mingote,Monument,Pza Cristino Martos 5,Ventura Rodríguez,"Ventura Rodriguez, 2,",3,24,140.41
Antonio Paso Cano,Monument,C Apodaca 9,Barceló,"Calle Barceló nº 7,",8,11,91.66
Antonio Zozaya,Monument,Pza General Vara del Rey 14,Plaza de la Cebada,"Plaza de la Cebada nº 16 ,",17,14,200.21
Antorcha,Monument,BARRIO CIUDAD UNIVERSITARIA ,Ciudad Universitaria 1,"Avenida de la Complutense (Metro Ciudad Universitaria),",2,22,392.08
Antorcha,Monument,Avda General Fanjul 14,"Avda de las Aguilas, 27","Avda de las Aguilas, 27,",8,16,259.17
Apeadero de Pavones,Monument, ,"Fuente Carrantona , 33","Fuente Carrantona , 33,",18,9,318.4
Arco de Moncloa,Monument, ,Moncloa,"Paseo de Moret nº 2,",3,20,130.09
Arcángel San Miguel,Monument,C Costa del Sol 1,"Avenida de San Luis, 23","Avenida de San Luis, 23,",6,17,230.63
Armando Palacio Valdés,Monument,CALLE MALDONADO 25,Velázquez-Diego de León,"Calle Velázquez nº 91,",2,21,98.75
Artieda y Labiano,Monument,C Navas de Tolosa 10,Santo Domingo,"Plaza de Santo Domingo nº 1,",13,11,152.46
Arturo Duperier Vallesa,Monument,CALLE VIRGEN DEL PORTILLO 37,C.D. Concepción,"Calle Jose del Hierro nº 5,",8,14,213.35
Arturo Pajuelo Rubio,Monument,Pza Sestao ,Guetaria  84b,"Guetaria , 84b,",20,4,254.15
Arturo Soria y Mata,Monument,C Arturo Soria ,"Diego Ayllon, 2","Diego Ayllon, 2,",1,22,331.37
Asilo de Inválidos,Monument,C Arnedo 22,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",16,6,314.91
Ataulfo,Monument,Pza Oriente ,Plaza Ramales,"Plaza de Ramales,",11,11,124.12
Atentado boda real Alfonso XIII,Monument,C Mayor 79,Segovia 26,"Calle Segovia nº 26,",12,15,154.04
Atentados 11-M,Monument,Pza Puerta del Sol 7,Carretas,"Calle Carretas nº 8,",6,17,26.08
Atletas,Monument,CALLE SERRANO 127,Serrano 113,"Calle Serrano nº 113B,",7,20,162.64
Atletas,Monument,C Clara Campoamor 10,"Calle de Avefria, 26","Calle de Avefria, 26,",11,12,317.37
Atrio de la ermita de San Isidro,Monument,Pº Ermita del Santo 78,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",1,22,617.3
Auditorio del parque Enrique Tierno Galván,Monument,PARQUE ENRIQUE TIERNO GALVAN ,"Calle Amaltea , 1","271 - Calle Amaltea , 1,",22,2,212.87
Augusto d'Halmar,Monument,CALLE LORETO Y CHICOTE 8,Carlos Cambronero,"Plaza de Carlos Cambronero nº 2,",1,22,164.49
Aula de informática Reina Sofía,Monument,C Camino de la Arboleda ,Calle de Alan Turing,"Calle de Alan Turing,",4,19,172.61
Ave Fénix,Monument,PASEO CASTELLANA 33,Castellana 33,"Castellana 33,",2,21,85.48
Avenida Reyes Católicos,Monument,Pza San Francisco el Grande 1,Plaza de San Francisco,"Plaza de San Francisco nº 5,",12,12,53.42
Azorín,Monument,C Zorrilla 21,Banco de España A,"Calle Alcalá nº 49,",6,21,223.6
Azorín,Monument,Gta Azorín ,Segovia 45,"Calle Segovia nº 45,",20,7,153.67
Baco,Monument,PARQUE ALAMEDA DE OSUNA ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",8,19,378.38
Baco y Pomona en el jardín de la Quinta del duque del Arco,Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",9,14,5347.7
Baden Powell,Monument,Ctra Zarzón ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",11,16,618.91
Baldomero Fernández Espartero,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",3,21,364.35
Baltasar Bachero,Monument,C Salitre 34,Plaza de Lavapiés,"Calle Valencia nº 1,",5,19,173.71
Banda en los círculos,Monument, ,"Gran Avenida, 27","Gran Avenida, 27,",19,5,302.55
Barrendero madrileño,Monument,Pza Jacinto Benavente ,Jacinto Benavente,"Plaza de Jacinto Benavente,",18,5,16.68
Batalla de Lepanto,Monument,C Lepanto 2,Plaza Ramales,"Plaza de Ramales,",11,11,40.11
Beata Maria Ana de Jesús,Monument,C Valverde 15,Desengaño,"Calle Desengaño nº 1,",5,17,100.24
Beatriz Galindo 'La Latina',Monument,Pza Puerta del Ángel ,Puerta del Ángel,"Plaza Puerta del Ángel nº 4,",27,0,62.51
Beethoven,Monument,PARQUE BERLIN ,Parque Berlín,"Avenida de Concha Espina nº 34,",3,20,182.86
Berenguela,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",12,12,303.71
Bernardino de Obregón,Monument,C Bernardino Obregón 1,Embajadores 2,"Glorieta de Embajadores nº 2,",4,20,133.22
Bernardo López García,Monument,C Bernardo López Garcia 9,Conde Duque,"Calle Conde Duque nº 22,",2,21,113.79
Berruguete,Monument,C Serrano 13,Biblioteca Nacional,"Paseo de Recoletos nº 20,",4,18,170.96
Blanca de los Ríos,Monument,C Jorge Juan 7,Colón B,"Calle Serrano nº 32,",7,12,115.79
Blas Lázaro e Ibiza,Monument,Pza Ramón y Cajal 2,Ciudad Universitaria 1,"Avenida de la Complutense (Metro Ciudad Universitaria),",2,22,171.27
Botica de José Ortega Hernández,Monument,C Montera 17,Plaza del Carmen ,"Plaza del Carmen nº 1,",1,22,67.95
Botica de la Reina Madre,Monument,C Mayor 59,Plaza del Cordón,"Plaza del Cordón,",9,15,170.29
Bravo Murillo,Monument,CALLE BRAVO MURILLO 49,Quevedo,"Glorieta de Quevedo nº 5,",3,21,34.65
Britannia,Monument,C Guzmán el Bueno 133,San Francisco de Sales,"Calle General Ampudia nº 2,",2,22,200.13
Burrito,Monument,C Pío Felipe 12,"Calle Humanes, 3","Calle Humanes, 3,",3,21,262.28
Busto Pablo Neruda,Monument,Avda Pablo Neruda 40,"Calle Ramirez Tome, 31","Calle Ramirez Tome, 31,",3,24,205.24
Bustos de emperadores romanos del jardín de la Quinta del duque del Arco,Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",9,14,5347.7
Bárbara de Braganza,Monument,Pza Villa de París ,Marqués de la Ensenada,"Calle Marqués de la Ensenada nº 16,",11,12,78.96
Cabeza olmeca,Monument,Avda del Ensanche de Vallecas 13,"Calle de Valderrebollo, 18","444 - Calle de Valderrobollo, 18,",19,4,384.44
Cabo Luis Noval,Monument, ,San Quintín,"Calle Pavía nº 6,",12,15,52.13
Calderón de la Barca,Monument,C Mayor 61,Plaza del Cordón,"Plaza del Cordón,",9,15,158.99
Calle de Milaneses,Monument,C Milaneses 1,Plaza del Cordón,"Plaza del Cordón,",9,15,198.59
Calle de Santiago,Monument,C Santiago 6,Plaza Ramales,"Plaza de Ramales,",11,11,171.83
Callejón de Jorge Juan,Monument,C Jorge Juan 14,Villanueva,"Calle Claudio Coello nº 19,",16,7,123.55
Camilo José Cela,Monument,Pza Menéndez Pelayo ,Facultad Derecho,"Avenida Complutense nº 23,",6,17,100.94
Camilo José Cela,Monument,C Claudio Coello 91,Ortega y Gasset,"Calle José Ortega y Gasset nº 4,",2,21,76.49
Camilo José Cela,Monument,C Alcalá 185,Mártires Concepcionistas,"Calle Mártires Concepcionistas nº 2,",1,26,44.78
Campana de La Paz,Monument,Pza San Andrés 1,Plaza de los Carros,"Carrera de San Francisco nº 1,",11,16,99.89
Campana de la plaza Mercurio,Monument,Pza Mercurio ,"Plaza Mayor de Barajas, 24","Plaza Mayor de Barajas, 24,",12,12,137.36
Campoamor,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",4,23,107.72
Campoamor,Monument,C Recoletos 17,Columela,"Calle Serrano nº 8,",15,8,88.68
Canal del parque Juan Carlos I,Monument, ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",8,15,426.28
Canalejas y Méndez,Monument,Pza Puerta del Sol 6,Carretas,"Calle Carretas nº 8,",6,17,19.05
Canillejas,Monument,Pza Mora de Rubielos 4,"Calle Alcala, 590","Calle Alcala, 590,",8,15,176.99
Capiteles Paseo del Prado,Monument,Pº Prado ,Almadén,"Calle Almadén nº 28,",7,16,86.98
Capitán Ángel Melgar,Monument, ,Plaza Ramales,"Plaza de Ramales,",11,11,125.67
Carabela Santa María,Monument,AVENIDA VICTORIA 2,"Calle de Caroli, 1","Calle de Caroli, 1,",9,14,2820.28
Cardenal Cisneros,Monument,CALLE CARDENAL CISNEROS 2,Malasaña,"Calle Manuela Malasaña nº 5,",2,25,147.47
Carlos Arniches,Monument,C Carlos Arniches 31,Ribera de Curtidores,"Calle Ribera de Curtidores nº 28,",13,14,212.73
Carlos Arniches,Monument,CALLE MONTE ESQUINZA 1,Marqués de la Ensenada,"Calle Marqués de la Ensenada nº 16,",11,12,147.56
Carlos I de España y V de Alemania,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",12,12,149.11
Carlos Ibáñez de Ibero,Monument,CALLE GENERAL IBAÑEZ DE IBERO 1,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",6,16,302.39
Carlos II,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",12,12,180.86
Carlos III,Monument,Pza Murillo 2,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",4,23,
Carlos III,Monument,Pza Puerta del Sol ,Carretas,"Calle Carretas nº 8,",6,17,48.63
Carlos Lezcano,Monument,C Rollo 3,Plaza del Cordón,"Plaza del Cordón,",9,15,67.58
Carlos Linneo (Carl von Linne),Monument,Pza Murillo 2,Puerta del Ángel Caído,"Avenida de Alfonso XII nº 54,",14,13,183.66
Carlos María Rodríguez de Valcárcel,Monument,Pza Encuentro 4,Plaza del Encuentro,"Calle Arroyo de las Pilillas nº 6,",12,12,149.88
Carlos Moreno,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",3,21,299.05
Carlos y Guillermo Fernández-Shaw,Monument,C Carlos y Guillermo Fernández Shaw ,Conde de Casal,"Plaza del Conde de Casal nº 8,",9,9,107.17
Carnicer Betllé Ramón,Monument,CALLE SANTA ISABEL 38,Santa Isabel,"Calle Santa Isabel 32,",5,22,64.86
Carolus III Hispaniarum Rex,Monument, ,San Quintín,"Calle Pavía nº 6,",12,15,170.68
Casa de la Panadería,Monument,Pza Mayor 27,Calle Mayor,"Calle Mayor nº 20,",9,18,88.71
Casa de la Panadería,Monument,Pza Mayor 27,Calle Mayor,"Calle Mayor nº 20,",9,18,68.15
Casa del Pescador del Retiro,Monument,Pº Duque de Fernán Núñez ,Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",13,14,124.14
Castilla,Monument,CALLE CASTELLO 77,Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",2,21,125.4
Cavanilles,Monument,Pza Murillo 2,Cuesta de Moyano,"Cuesta de Claudio Moyano,",9,15,126.94
Caídos de Chamartin de la Rosa,Monument,PLAZA DUQUE DE PASTRANA 1,Plaza Duque Pastrana 1,"Plaza Duque Pastrana, 1,",12,11,16.49
Caídos del Cuartel de la Montaña,Monument,C Ferraz ,Ferraz,"Calle Evaristo San Miguel nº 2,",2,21,127.44
Cañas silbadoras,Monument,CALLE CEA BERMUDEZ 50,Cea Bermúdez,"Calle Cea Bermúdez nº 59,",3,24,184.82
Cecilio Rodríguez,Monument, ,Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",10,17,160.28
"Cementerio de la Florida, recinto y capilla",Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",3,21,356.92
Centenario de la primera sesión de cine,Monument,Ctra San Jerónimo 32,Sevilla,"Calle Alcalá nº 27,",13,5,179.54
Centenario del Hospital Central de la Defensa,Monument,GLORIETA EJERCITO 1,"Paseo de Marcelino Camacho, 53B","Paseo de Marcelino Camacho, 53B,",7,15,88.79
Centro Básico de Servicios Sociales y 3ª Edad,Monument,C Villalonso 12," Arroyo Bueno, 53","Arroyo Bueno, 53,",1,26,171.08
Centro Cultural Antonio Machado,Monument,CALLE SAN ROMAN DEL VALLE 8,Hermanos Garcia Noblejas 133,"Hermanos Garcia Noblejas, 133,",17,6,246.83
Centro Cultural Remonta,Monument,PLAZA REMONTA 12,Remonta,"Calle Azucenas nº 1,",1,18,52.08
Centro Cultural San Cristóbal de los Ángeles,Monument,Pza Pinazo 9,"Calle Cifuentes, 5","Calle Cifuentes, 5,",11,12,830.39
Centro Cultural San Juan Bautista,Monument,C San Nemesio 4,"Angel Muñoz, 1","Angel Muñoz, 1,",2,25,338.74
Centro Cultural Ágata,Monument,Pza Ágata 2,"Doctor Martín Arévalo, 19","Calle Doctor Martín Arévalo, 19,",9,15,102.35
Centro de Educación Especial Reina Sofía,Monument,Ctra Canillas 51,"Calle Andorra, 6","546 - Calle Andorra, 6,",13,10,173.19
Centro de Servicios Sociales Luis Vives,Monument,AVENIDA INSTITUCION LIBRE DE ENSE&amp;Ntilde;ANZA 160,"Hermanos Garcia Noblejas, 158","Hermanos Garcia Noblejas, 158,",9,15,43.19
Centro Integrado Teresa de Calcuta,Monument,Pza Navío ,"Avenida de Cantabria, 6","Avenida de Cantabria, 6,",15,9,76.0
Centro Juvenil Miguel de Cervantes,Monument,CALLE FENELON 6,"Calle Troya, 11","Calle Troya, 11,",20,4,89.96
Centro Tercera Edad,Monument,C Jerte ,Plaza de San Francisco,"Plaza de San Francisco nº 5,",12,12,83.5
Cervantes,Monument,Pº Recoletos 20,Biblioteca Nacional,"Paseo de Recoletos nº 20,",4,18,69.08
Chamberí a sus hijos,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",3,21,356.43
Chintila,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",4,23,107.72
Chueca,Monument,Pº Uruguay ,Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",11,15,376.79
Chulín,Monument,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ," Paseo de la Venta, 1","Paseo de la Venta, 1,",4,22,846.97
Cilindros en el espacio,Monument,PASEO CASTELLANA 1,Plaza de Colón,"Calle Goya nº 1,",5,18,121.41
Cinco obeliscos Centro Comercial Arturo Soria Plaza,Monument,C Arturo Soria 126,"Diego Ayllon, 2","Diego Ayllon, 2,",1,22,230.73
Cinematógrafo,Monument,CARRERA SAN JERONIMO 32,Sevilla,"Calle Alcalá nº 27,",13,5,181.09
Ciudad Sanitaria 12 Octubre,Monument,Avda Córdoba ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",23,0,352.6
Ciudad Sanitaria La Paz,Monument,Pº Castellana 261,Manuel Caldeiro,"Paseo de la Castellana nº 298,",16,8,126.11
Clara Campoamor,Monument,Avda General Fanjul ,"Avenida de las Aguilas , 110","Avenida de las Aguilas , 110,",1,22,123.83
Clara Campoamor,Monument,Pza Guardias de Corps ,Conde Duque,"Calle Conde Duque nº 22,",2,21,27.36
Clara del Rey,Monument,CALLE CLARA DEL REY 1,"Clara del Rey, 6","Clara del Rey, 6,",4,20,153.0
Claudio Moyano,Monument,C Claudio Moyano ,Cuesta de Moyano,"Cuesta de Claudio Moyano,",9,15,9.16
Claudio Sánchez Albornoz,Monument,PLAZA CELENQUE 1,Plaza de Celenque B,"Plaza de Celenque nº 1,",11,12,14.07
Colegiales,Monument,C Mirasierra 29,"Amparo Usera , 46","Amparo Usera , 46,",17,5,264.2
Colegiales,Monument,Pza Pinazo 7,"Calle Cifuentes, 5","Calle Cifuentes, 5,",11,12,834.64
Colegio Mayor San Pablo,Monument,CALLE ISAAC PERAL 58,Hospital Clínico,"Calle Isaac Peral nº 44,",1,21,252.78
Colegio Nacional Padre Vitoria,Monument,C Hacienda de Pavones 328,Pavones,"Calle Hacienda de Pavones nº 342,",7,16,303.89
Colegio Príncipe Felipe,Monument,AVENIDA MONFORTE DE LEMOS 24,"Calle Melchor Fernandez Almagro, 16","Calle Melchor Fernandez Almagro, 16,",4,20,289.23
Colegio Público Dionisio Ridruejo,Monument,C Zipaquira 14,"Zapatoca, 8","Calle Zapatoca, 8,",9,14,104.97
Colonia San Fernando,Monument,Avda Guardia ,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",22,5,4673.83
Colonia Torres Garrido,Monument,Col Torres Garrido ,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",16,6,146.62
Columna corintia en la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",3,20,39.64
Columna de Calatrava,Monument,PLAZA CASTILLA 1,Plaza de Castilla 2,"Paseo Castellana (Fundación Canal),",4,19,124.13
Columna de Saturno,Monument,PARQUE ALAMEDA DE OSUNA ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",8,19,378.38
Columna jónica en la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",3,20,39.64
Columnas de la casa de las Siete Chimeneas,Monument,C Infantas 31,Banco de España A,"Calle Alcalá nº 49,",6,21,182.11
Columnas de los Enfrentados,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",8,19,55.9
Columnas del Paseo del Prado,Monument,Pº Prado ,Cibeles,"Plaza Cibeles,",4,20,38.71
Columnas ornamentales en el jardín del palacete Villa Rosa,Monument, ,"Vicente Muzas, 12","Vicente Muzas, 12,",7,16,497.97
Columnas Rosaleda I y II,Monument,C Rosaleda ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",3,21,157.49
Columnas toscanas Pradolongo,Monument,PARQUE PRADOLONGO ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",23,0,193.82
Columnata del claustro,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",8,15,873.65
