Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Starting location,Monument,callao,"Calle Fuente de Lima, 10","Calle Fuente de Lima, 10,",2,21,9508397.34
Fuente de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",18,5,78.58
Neptuno,Monument,Pza Cánovas del Castillo ,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",7,16,183.87
Maestro Alonso,Monument,C Hermanos Álvarez Quintero 30,Alonso Martínez,"Plaza de Alonso Martínez nº 5,",6,18,131.4
El Vecino Curioso,Monument,C Almudena ,Segovia 26,"Calle Segovia nº 26,",8,19,149.66
Finish location,Monument,Plaza de España,Plaza de España A,"Calle Princesa nº 5,",17,1,81.61
