Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Starting location,Monument,callle pez 2,Carlos Cambronero,"Plaza de Carlos Cambronero nº 2,",2,21,53.36
Neptuno,Monument,Pza Cánovas del Castillo ,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",2,21,183.87
Fuente de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",14,10,78.58
Puerta de Alcalá,Monument,Pza Independencia ,Plaza de la Independencia,"Plaza de la Independencia nº 6,",19,4,41.1
Finish location,Monument,calle tetuan 2,Ronda de la comunicacion,"Ronda de la comunicacion,",3,20,328177.4
