Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Starting location,Monument,"calle pez, 2",Plaza de San Ildefonso,"Plaza de San Ildefonso,",9,15,203.31
Fuente de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",5,18,78.58
Neptuno,Monument,Pza Cánovas del Castillo ,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",3,20,183.87
Maestro Alonso,Monument,C Hermanos Álvarez Quintero 30,Alonso Martínez,"Plaza de Alonso Martínez nº 5,",5,19,131.4
El Vecino Curioso,Monument,C Almudena ,Segovia 26,"Calle Segovia nº 26,",13,14,149.66
Finish location,Monument,Calle de tetuan,Carretas,"Calle Carretas nº 8,",9,14,115.09
