Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
A las víctimas del Holocausto,Monument,JARDIN TRES CULTURAS ,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",3,20,905.1
A los Abuelos,Monument,C Alicún ,"Calle de Bacares, 20","Calle de Bacares, 20,",5,19,349.7
A Neruda-El Ser alado,Monument,Gta José Luis Ozores 116,"433 -Calle de Villalobos, 28","Calle de Villalobos, 28,",9,15,142.94
Abogados Laboristas,Monument,C Atocha 55,Antón Martín,"Calle Atocha nº 54,",11,8,109.52
Abstracta I,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",6,18,376.75
Abstracta II,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",6,18,352.56
Abundancia,Monument,CALLE GUZMAN EL BUENO 137,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",4,18,260.81
Academia de Farmacia,Monument,C Farmacia 9,Colegio Arquitectos,"Calle Hortaleza nº 63,",1,17,109.53
Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monument,CAMINO HUMERA ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",4,23,1786.71
Ad Iesum per Mariam,Monument,AVENIDA MACHUPICHU 1,"Avenida de Machupichu, 23","Avenida de Machupichu, 23,",19,8,381.24
Adelardo Ortiz de Pinedo,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,336.72
Adhesión de España a la Comunidad Europea,Monument,PLAZA PROVINCIA 1,Plaza de la Provincia,"Plaza de la Provincia nº 1,",7,11,38.61
"Agricultor, agricultura y progreso",Monument,PASEO CASTELLANA 101,General Perón con Poeta Joan Maragall,"Avenida del General Perón frente al nº 36,",4,19,246.8
"Agricultor, agricultura y progreso",Monument,Avda Complutense ,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",3,16,237.17
"Agricultor, agricultura y progreso",Monument,C Principal de Provincias ,"Calle Francisco de Tejada, 1","Calle Francisco de Tejada, 1,",7,17,352.14
Agustín Argüelles,Monument,Pza Marqués de Cerralbo ,Quintana,"Calle Quintana nº 13,",6,17,297.61
Agustín de Foxá,Monument,C Ibiza 1,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",6,17,52.62
Agustín Lara,Monument,C Sombrerete 15,Plaza de Nelson Mandela,"Calle Mesón de Paredes nº 35,",10,9,195.2
Agustín Rodríguez Sahagún,Monument,PARQUE AGUSTIN RODRIGUEZ SAHAGUN ,"Calle Valle de Mena, 5","Calle Valle de Mena, 5,",11,11,316.75
AICO,Monument,Pza Colón ,Plaza de Colón,"Calle Goya nº 1,",3,20,115.64
Al Bombero,Monument,Avda Poblados ,Avda del Padre Piquer,"Avda del Padre Piquer s/n,",3,21,328.85
Al Libro,Monument,Pº Recoletos ,Biblioteca Nacional,"Paseo de Recoletos nº 20,",8,14,32.58
Al Maestro,Monument, ,Paseo de Moret,"Paseo de Moret nº 11,",3,20,236.02
Al Niño,Monument,AVENIDA ALBERTO ALCOCER 1,Castellana 164,"Paseo de la Castellana nº 164,Comunidad de Madrid España",3,20,61.76
Al otro lado del muro,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,62.94
Al Pueblo del Dos de Mayo de 1808,Monument,Pza España ,Plaza de España A,"Calle Princesa nº 5,",1,17,166.92
Al Siglo XXI,Monument,AVENIDA CANILLEJAS A VICALVARO 159,Paseo Ginebra,"calle Paseo Ginebra,",20,4,580.9
Al Viejo Profesor,Monument,Avda Eduardo Barreiros 17,"Avenida de la Perla, 35","Avenida de la Perla, 35,",21,2,123.29
