Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Starting location,Monument,"calle pez, 2",Carlos Cambronero,"Plaza de Carlos Cambronero nº 2,",5,18,53.36
Fuente de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",16,7,78.58
Neptuno,Monument,Pza Cánovas del Castillo ,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",7,16,183.87
Maestro Alonso,Monument,C Hermanos Álvarez Quintero 30,Alonso Martínez,"Plaza de Alonso Martínez nº 5,",6,18,131.4
El Vecino Curioso,Monument,C Almudena ,Segovia 26,"Calle Segovia nº 26,",6,21,149.66
Finish location,Monument,Calle de tetuan,Carretas,"Calle Carretas nº 8,",2,21,115.09
