Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Starting location,Monument,ironhack,Entrada Matadero,"Paseo de la Chopera nº 14,",26,17,86.14
Puerta de Alcalá,Monument,Pza Independencia ,Plaza de la Independencia,"Plaza de la Independencia nº 6,",13,10,41.1
Finish location,Monument,venta el matadero,Entrada Matadero,"Paseo de la Chopera nº 14,",26,17,51.85
