Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Puerta de Alcalá,Monument,Pza Independencia ,Plaza de la Independencia,"Plaza de la Independencia nº 6,",5,17,41.1
Neptuno,Monument,Pza Cánovas del Castillo ,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",7,16,183.87
