Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Starting location,Monument,bravo murillo 13,Quevedo,"Glorieta de Quevedo nº 5,",3,21,146.78
Fuente de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",18,6,78.58
Puerta de Alcalá,Monument,Pza Independencia ,Plaza de la Independencia,"Plaza de la Independencia nº 6,",14,9,41.1
Neptuno,Monument,Pza Cánovas del Castillo ,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",1,22,183.87
Oso y Madroño,Monument,C Carmen ,Carretas,"Calle Carretas nº 8,",14,9,85.23
Oso y Madroño,Monument,C Barros 16,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",26,0,555.43
Oso y Madroño,Monument,PLAZA PROSPERIDAD 1,Prosperidad,"Calle Suero de Quiñones nº 3,",4,23,38.72
Finish location,Monument,poeta joan maragall 18,San Germán 5,"Calle San Germán nº 5,",4,20,115.87
