Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
A las víctimas del Holocausto,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",2,21,873.65
Oso y Madroño,Monument,C Carmen ,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",12,3,320.23
Oso y Madroño,Monument,C Barros 16,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",8,19,555.43
Oso y Madroño,Monument,PLAZA PROSPERIDAD 1,Prosperidad,"Calle Suero de Quiñones nº 3,",7,20,38.72
Órgano,Monument,C Castelló 77,Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",2,21,112.61
