Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Escultura ecuestre alegórica II Jardines de Sabatini,Monument, ,San Quintín,"Calle Pavía nº 6,",8,19,227.23
Escultura en chapa metálica en la calle San Jenaro,Monument,C San Jenaro ,"San Jenaro, 1","Calle San Jenaro, 1,",3,21,442.87
Escultura en el Consejo Económico y Social,Monument,C Huertas 73,Huertas,"Calle Jesús nº 1,",6,19,57.74
Escultura en la calle Belzunegui,Monument,C Belzunegui ,Albox 33,"Calle Albox 33,",9,14,150.9
Escultura en la calle Risco de Peloche,Monument,C Risco de Peloche 14,"Avenida de la Albufera, 136","Avenida de la Albufera,",6,17,223.91
Escultura en la plaza Presidente Cárdenas,Monument,PLAZA PRESIDENTE CARDENAS 1,Alberto Alcocer,"Avenida de Alberto Alcocer nº 22,",5,16,364.21
Escultura en la plaza Santos de la Humosa,Monument,Plaza Santos de la Humosa ,"Avenida de San Luis, 23","Avenida de San Luis, 23,",4,18,496.68
Escultura en la Urbanización Los Robles,Monument,C Gavilanes 4,"Ramon Gomez de la Serna, 37","Calle Ramon Gomez de la Serna, 37,",6,18,1475.29
Escultura geométrica I. E. S. Arcipreste de Hita,Monument,Rda Sur 6,"Avenida de Entrevias, 56","Avenida de Entrevias, 56,",4,20,576.13
Escultura La Vivienda,Monument,CALLE JOSE RAMON VIZCAINO 5,"Avenida de Hellin, 13","Avenida de Hellin, 13,",8,16,114.38
Escultura modular inoxidable en la calle Orense,Monument,CALLE ORENSE 58,Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",2,22,222.67
Escultura monolítica I Inst. Prof. de Sordomudos Ponce de León,Monument,Avda Eduardo Barreiros 6,"Avenida de la Perla, 35","Avenida de la Perla, 35,",16,7,331.22
Escultura monolítica II Inst. Prof. de Sordomudos Ponce de León,Monument,Avda Eduardo Barreiros 6,"Avenida de la Perla, 35","Avenida de la Perla, 35,",16,7,326.8
Escultura mural metálica I. E. S. Antonio Domínguez Ortiz,Monument,C Andaluces 36,"Calle San Claudio, 154","Calle San Claudio, 154,",2,22,319.11
Escultura Paraboloide Cuzco,Monument,Pº Castellana 147,Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",2,22,66.35
Escultura Puerta de Madrid,Monument, ,Paseo de Moret,"Paseo de Moret nº 11,",10,13,170.48
Escultura Totémica I,Monument,PARQUE LINEAL DE PALOMERAS ,"Calle de los Andaluces, 2","Calle de los Andaluces, 2,",11,13,326.65
Escultura Totémica II,Monument, ,"Calle San Claudio, 154","Calle San Claudio, 154,",2,22,494.88
Escultura trípode Cuzco,Monument,PASEO CASTELLANA 143,Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",2,22,102.1
Esculturas emergentes Pradolongo,Monument,C Doctor Tolosa Latour ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",3,20,574.54
Esculturas gemelas de niños,Monument,CALLE SANTISIMA TRINIDAD 37,Canal,"Calle José Abascal frente al nº 2,",10,13,230.98
Esfinges,Monument,C Serrano 13,Colón B,"Calle Serrano nº 32,",4,15,165.14
Espacio México,Monument,PARQUE JUAN CARLOS I 1,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,485.59
