Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Starting location,Monument,"calle pez, 2",Carlos Cambronero,"Plaza de Carlos Cambronero nº 2,",1,22,53.36
Fuente de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",12,12,78.58
Neptuno,Monument,Pza Cánovas del Castillo ,"Calle Felipe IV, 3","Calle Felipe IV, 3,",6,17,190.87
Maestro Alonso,Monument,C Hermanos Álvarez Quintero 30,Alonso Martínez,"Plaza de Alonso Martínez nº 5,",4,20,131.4
El Vecino Curioso,Monument,C Almudena ,Segovia 26,"Calle Segovia nº 26,",9,18,149.66
Finish location,Monument,Calle de tetuan,Carretas,"Calle Carretas nº 8,",8,15,115.09
